date,tx_type,sec_name,amount,ticker,units,unit_price
2025-01-07 12:00:00+00:00,DIV,GLOBAL X FUNDS,37.0900,CLIP,,
2025-01-07 12:00:00+00:00,DIV,GLOBAL X FUNDS,0.4100,CLIP,,
2025-01-13 12:00:00+00:00,CREDIT,FULLYPAID LENDING REBATE,0.09,,,
2025-01-17 12:00:00+00:00,CREDIT,ACH DEPOSIT,1600.00,,,
2025-01-29 12:00:00+00:00,DEBIT,ACH WITHDRAWAL,-400.00,,,
2025-02-04 12:00:00+00:00,BUY,EA SER TR,-11079.60000000,BOXX,100.0000,110.7960
2025-02-04 12:00:00+00:00,SELL,SELECT SECTOR SPDR TRUST,10330.00000000,XLC,-100.0000,103.3000
2025-02-04 12:00:00+00:00,BUY,SELECT SECTOR SPDR TRUST,-8977.00000000,XLE,100.0000,89.7700
2025-02-06 12:00:00+00:00,SELL,FIRST TRUST EXCHANGE TRADED,6884.00000000,CIBR,-100.0000,68.8400
2025-02-07 12:00:00+00:00,BUY,EA SER TR,-11084.62000000,BOXX,100.0000,110.8462
2025-02-13 12:00:00+00:00,SELL,SELECT SECTOR SPDR TRUST,8941.00000000,XLE,-100.0000,89.4100
2025-02-13 12:00:00+00:00,BUY,EA SER TR,-11090.00000000,BOXX,100.0000,110.9000
2025-02-13 12:00:00+00:00,SELL,EA SER TR,22180.44000000,BOXX,-200.0000,110.9022
2025-02-13 12:00:00+00:00,BUY,SELECT SECTOR SPDR FUND,-22565.49000000,XLY,100.0000,225.6549
2025-02-14 12:00:00+00:00,BUY,EA SER TR,-22191.26000000,BOXX,200.0000,110.9563
2025-02-14 12:00:00+00:00,SELL,SELECT SECTOR SPDR TRUST,23892.00000000,XLK,-100.0000,238.9200
2025-02-18 12:00:00+00:00,BUY,SELECT SECTOR SPDR TRUST,-14463.00000000,XLV,100.0000,144.6300
2025-02-18 12:00:00+00:00,SELL,EA SER TR,11095.41000000,BOXX,-100.0000,110.9541
2025-02-18 12:00:00+00:00,CREDIT,ACH DEPOSIT,1600.00,,,
2025-02-21 12:00:00+00:00,SELL,EA SER TR,11103.32000000,BOXX,-100.0000,111.0332
2025-02-21 12:00:00+00:00,BUY,SELECT SECTOR SPDR TRUST,-5079.00000000,XLF,100.0000,50.7900
2025-02-28 12:00:00+00:00,SELL,SELECT SECTOR SPDR TRUST,5152.00000000,XLF,-100.0000,51.5200
2025-02-28 12:00:00+00:00,BUY,PENNANTPARK INVESTMENT CORP,-2892.00000000,PNNT,400.0000,7.2300
2025-02-28 12:00:00+00:00,BUY,ISHARES INTEREST RATE HEDGED,-8694.00000000,HYGH,100.0000,86.9400
2025-02-28 12:00:00+00:00,BUY,REALTY INCOME CORP,-5685.68000000,O,100.0000,56.8568
2025-02-28 12:00:00+00:00,BUY,FIRST LONG ISLAND CORP,-1305.00000000,FLIC,100.0000,13.0500
2025-02-28 12:00:00+00:00,BUY,ISHARES INTEREST RATE HEDGED,-8694.00000000,HYGH,100.0000,86.9400
2025-02-28 12:00:00+00:00,SELL,EA SER TR,11111.286000000,BOXX,-100.0000,111.11286
2025-02-28 12:00:00+00:00,BUY,FRANKLIN RESOURCES INC,-2000.00000000,BEN,100.0000,20.0000
2025-02-28 12:00:00+00:00,BUY,SPDR SERIES TRUST,-2382.00000000,SPHY,100.0000,23.8200
2025-02-28 12:00:00+00:00,BUY,FS KKR CAPITAL CORP,-2318.00000000,FSK,100.0000,23.1800
2025-02-28 12:00:00+00:00,SELL,SELECT SECTOR SPDR TRUST,14658.22000000,XLV,-100.0000,146.5822
